No,Nama,LLDikti
414,Akademi Keperawatan Pemerintah Kabupaten Purworejo,
415,Akademi Keperawatan Pemerintah Kabupaten Tapanuli Utara,
416,Akademi Keperawatan Pemerintah Kabupaten Wajo,
417,Akademi Keperawatan Pemerintah Provinsi Kalimantan Barat,
418,Akademi Keperawatan Pemkot Tegal,
419,Akademi Keperawatan Polri,
420,Akademi Keperawatan Pragolopati,
421,Akademi Keperawatan Prima Jambi,
422,Akademi Keperawatan Purna Bhakti Husada,10.0
423,Akademi Keperawatan Putra Pertiwi Watansoppeng,
424,Akademi Keperawatan Rantepao,
425,Akademi Keperawatan Royhan,
426,Akademi Keperawatan Rs Dgi Cikini,3.0
427,Akademi Keperawatan Rs Dustira,4.0
428,Akademi Keperawatan Rs Efarina,
429,Akademi Keperawatan Rs Husada,3.0
430,Akademi Keperawatan Rs Marthen Indey,
431,Akademi Keperawatan Rsp Tni-Au Jakarta,3.0
432,Akademi Keperawatan Rspad Gatot Subroto,
433,Akademi Keperawatan Rsu Hisarma Medan,
434,Akademi Keperawatan Rumah Sakit Jakarta,
435,Akademi Keperawatan Rumah Sakit Tk. Ii Pelamonia,9.0
436,Akademi Keperawatan Rumkit Tingkat Iii Manado,16.0
437,Akademi Keperawatan Rumkit Tk. Iii Dr. J.A. Latumeten Kesdam Xvi/Pattimura,
438,Akademi Keperawatan Saifuddin Zuhri,4.0
439,Akademi Keperawatan Samawa,8.0
440,Akademi Keperawatan Sandi Karsa,
441,Akademi Keperawatan Sawerigading Pemda Luwu,9.0
442,Akademi Keperawatan Sehat Binjai,
443,Akademi Keperawatan Setih Setio,
444,Akademi Keperawatan Sri Bunga Tanjung,
445,Akademi Keperawatan St. Elisabeth Lela,
446,Akademi Keperawatan Sumber Waras,
447,Akademi Keperawatan Surya Nusantara,
448,Akademi Keperawatan Syekh Yusuf Gowa,
449,Akademi Keperawatan Tenaga Pembangunan Arjuna,1.0
450,Akademi Keperawatan Teungku Fakinah Banda Aceh,13.0
451,Akademi Keperawatan Totabuan Kotamobagu,
452,Akademi Keperawatan Widya Husada,
453,Akademi Keperawatan Wirahusada Medan,
